appid,developers
1244460,10 Chambers
657200,Ubisoft
228380,Berserk Games
1184370,Beam Team Games
942970,Io-Interactive A/S
242860,Arc System Works
250320,Gears for Breakfast
939960,Naughty Dog LLC
1119730,Iron Galaxy Studios
1557740,Claudiu Kiss
383120,The Irregular Corporation
569480,MachineGames
110800,Square Enix
1189630,CyberConnect2 Co. Ltd.
257510,Big Blue Bubble
413410,Gunfire Games
625960,Curve Animation
460920,Genesz
1062090,Antimatter Games
692850,Tripwire Interactive
1268750,上海烛龙信息科技有限公司
668580,Aurogon Shanghai
1336490,Pugstorm
704270,Galactic Cafe
107100,Ubisoft Entertainment
1295660,Arkane Studios
335240,QLOC
2218750,DIMPS
1977530,Giant Sparrow
310950,Frictional Games
2231380,ProjectMoon
237930,Sucker Punch Productions
368500,Nixxes Software
288160,Darkflow Software
1144400,Matter Team
1190000,Greenheart Games 💚
488790,Cryptic Studios
1859910,Capcom
459820,Firaxis Games
2208920,Feral Interactive (Linux)
493490,WB Games Montreal
2161700,Splash Damage
204300,SMG Studio
40800,id Software
1392820,Shiying Studio
1371980,Bandai Namco Studios Inc.
640820,Siege Camp
2124490,Thunder Lotus Games
744900,Remedy Entertainment
434570,Criterion Games
1284410,养蛋人 Egg Hatcher
1520470,IO Interactive A/S
1966900,Feral Interactive (Linux)
337320,Feral Interactive (Mac)
485510,Little Orbit
975370,MrFatcat
1359090,KayAnimate
740130,RocketWerkz
322500,Vankrupt Games
653530,IO Interactive A/S
668630,Shining Rock Software LLC
420290,Grapeshot Games
1527950,Instinct Games
1782380,Cubic Games Studio
1850570,Playa Games GmbH
767560,Eagle Dynamics SA
302830,Render Cube
805550,Fistful of Frags Team
2212330,Meta Fork
47810,NEOWIZ
1948280,Clever Endeavour Games
2707930,CCP
1455840,Duhndal
872200,intiny
954850,Remedy Entertainment
1343400,BioWare
535930,OPNeon Games
701160,NetherRealm Studios
1388880,QLOC
2475490,Maxim Karpenko
1468260,Live Wire
1797880,Adglobe
312530,1939 Games
1180380,Capcom
641990,Playdead
583950,TT Games
1049410,DDNet Team
655500,FYQD-Studio
1876890,Cygames
413420,Inc.
325610,Tarsier Studios
953490,Black Salt Games
2273430,Codemasters
3038750,Redaster Studio
261030,KOG
960170,Lazy Bear Games
1235140,CREATIVE ASSEMBLY
553640,Feral Interactive (Mac)
427730,Feral Interactive (Linux)
2378900,Arkane Studios
41700,Saber Interactive
1337520,Capcom
339800,Another Axiom Inc.
460790,Fredaikis AB
2369390,Hangar 13
1501750,Aspyr (Mac)
394510,Pathea Games
475150,Funday Games
1263850,CAPCOM Co.
1056640,Unknown Developer
1189490,CAPCOM Co.
316010,Unknown Developer
393420,Digitalmindsoft
985810,Unknown Developer
1222730,暗黑战神
39140,至尊传奇
1262580,七夜工作室
1211020,Zoom Out Games
1584090,COOL DEVS S.R.L.
99900,MDNA Games
238010,TopWar Limited
2263010,MDNA Games
373420,Unknown Developer
557340,Anime Works
1282270,Digitalmindsoft
2051620,cJoy Games
1902490,BadMudStudio
274940,Starbreeze Studios AB
1869590,Stress Level Zero
1106840,2K Czech
324800,Crytek
2324650,Blizzard Entertainment
299740,Inc.
211500,Booming Tech
977400,Paradox Development Studio
1171690,Deck Nine
250600,Feral Interactive (Mac)
333600,Feral Interactive (Linux)
2532550,HopFrog
230290,Noble Muffins
571740,Visual Concepts
260230,Panic Art Studios Ltd
585420,WONDER POTION
1874880,Runic Games
287290,Bad Pixel
563560,Kyle Seeley
207140,Four Quarters
960990,Ninja Kiwi
589290,Shawn Hitchcock
783770,Videocult
1809540,CREATIVE ASSEMBLY
314160,Feral Interactive (Linux)
1971870,Feral Interactive (Mac)
1509960,Second Dinner Studios
247080,Inc.
578650,KovaaK Games
447020,Sukeban Games
1262350,Striking Distance Studios
245170,Sven Co-op team
368230,BlankMediaGames
794260,Aether Studios
736190,Crema
236110,Saber Interactive
1084600,VALOFE
47780,SkyBox Labs
584400,Ensemble Studios
1022450,FromSoftware
637090,Inc.
365360,thatgamecompany
494840,艺龙游戏
383150,Machine Games
1240210,niceplay games
517630,KOEI TECMO GAMES CO.
1149620,LTD.
1969870,Square Enix
1989270,Ubisoft
41070,Acureus
2280,Sledgehammer Games
1124300,Raven Software
202990,Sledgehammer Games
202970,Raven Software
450540,Scott Cawthon
332950,FYQD-Studio
48190,Bandai Namco Studios Inc.
208580,Mimimi Games
1030830,ProjectMoon
427410,Witch Beam
400750,Total Mayhem Games
474960,Akaba Studio
409720,Insomniac Games
212500,Nixxes Software
1284210,The Sims Studio
248820,Maxis
384190,Reissad Studio
532210,Eidos Montreal
2504480,Feral Interactive (Linux)
213610,Feral Interactive (Mac)
332800,Doborog Games
1227890,Petroglyph
372000,Lemon Sky Studios
541570,Ninja Kiwi
916440,CAPCOM Co.
